陸奥	青森県
陸中	岩手県	秋田県
陸前	宮城県
羽後	秋田県	山形県
羽前	山形県
岩代	福島県
磐城	福島県
常陸	茨城県
下総	茨城県	千葉県
下野	栃木県
上野	群馬県
武蔵	埼玉県	東京都	神奈川県
上総	千葉県
安房	千葉県
相模	神奈川県
越後	新潟県
佐渡	新潟県
越中	富山県
能登	石川県
加賀	石川県
越前	福井県
若狭	福井県
甲斐	山梨県
信濃	長野県
美濃	岐阜県
飛騨	岐阜県
駿河	静岡県
伊豆	静岡県
遠江	静岡県
尾張	愛知県
三河	愛知県
伊勢	三重県
伊賀	三重県
志摩	三重県
紀伊	三重県	和歌山県
近江	滋賀県
山城	京都府
丹波	京都府	兵庫県
丹後	京都府
摂津	大阪府	兵庫県
和泉	大阪府
河内	大阪府
播磨	兵庫県
但馬	兵庫県
淡路	兵庫県
大和	奈良県
因幡	鳥取県
伯耆	鳥取県
石見	島根県
出雲	島根県
隠岐	島根県
備前	岡山県	香川県
備中	岡山県
美作	岡山県
備後	広島県
安芸	広島県
周防	山口県
長門	山口県
阿波	徳島県
讃岐	香川県
伊予	愛媛県
土佐	高知県
筑前	福岡県
筑後	福岡県
豊前	福岡県	大分県
肥前	佐賀県	長崎県
壱岐	長崎県
対馬	長崎県
肥後	熊本県
豊後	大分県
日向	宮崎県
薩摩	鹿児島県
大隅	鹿児島県
琉球	沖縄県
