北海道	青森県 253.773316	岩手県 373.571267	秋田県 385.855314	宮城県 534.001452	山形県 542.057337	福島県 594.745962	新潟県 606.033014	栃木県 732.285200	茨城県 750.330795	長野県 761.671526
青森県	岩手県 129.325952	秋田県 134.274460	北海道 253.773316	宮城県 283.982752	山形県 288.734442	福島県 342.125940	新潟県 356.574846	栃木県 478.614157	茨城県 498.282826	群馬県 513.418782
岩手県	秋田県 90.083085	青森県 129.325952	宮城県 161.116170	山形県 176.228872	福島県 224.862868	新潟県 272.367539	栃木県 365.621154	北海道 373.571267	茨城県 378.248231	群馬県 410.950358
宮城県	山形県 44.616668	福島県 67.640136	岩手県 161.116170	新潟県 167.220611	秋田県 174.212273	栃木県 208.290786	茨城県 217.165405	群馬県 263.069037	青森県 283.982752	埼玉県 288.872962
秋田県	岩手県 90.083085	青森県 134.274460	山形県 165.652708	宮城県 174.212273	福島県 220.796233	新潟県 222.334334	栃木県 350.491314	茨城県 376.030428	長野県 379.774725	群馬県 380.481428
山形県	宮城県 44.616668	福島県 55.163485	新潟県 123.454968	秋田県 165.652708	岩手県 176.228872	栃木県 190.665476	茨城県 210.843966	群馬県 235.515872	長野県 261.522538	埼玉県 271.993996
福島県	山形県 55.163485	宮城県 67.640136	新潟県 128.268805	栃木県 141.326768	茨城県 156.322292	群馬県 195.988096	秋田県 220.796233	埼玉県 222.395516	岩手県 224.862868	長野県 236.786145
茨城県	栃木県 56.272967	千葉県 86.799546	埼玉県 89.726299	東京都 99.355553	神奈川県 122.936167	群馬県 124.563310	福島県 156.322292	山梨県 185.289156	長野県 205.862745	山形県 210.843966
栃木県	茨城県 56.272967	群馬県 76.289152	埼玉県 81.376923	東京都 98.746234	千葉県 108.760922	神奈川県 125.937741	福島県 141.326768	長野県 152.594375	山梨県 155.003072	新潟県 166.838403
群馬県	栃木県 76.289152	埼玉県 79.481236	長野県 83.845314	山梨県 92.044268	東京都 96.442644	神奈川県 117.137250	茨城県 124.563310	千葉県 129.606632	新潟県 167.746300	静岡県 168.457422
埼玉県	東京都 19.027589	神奈川県 45.458210	千葉県 51.243668	群馬県 79.481236	栃木県 81.376923	茨城県 89.726299	山梨県 100.037783	静岡県 150.861892	長野県 158.613032	福島県 222.395516
千葉県	東京都 40.194468	神奈川県 46.970192	埼玉県 51.243668	茨城県 86.799546	栃木県 108.760922	群馬県 129.606632	山梨県 140.986432	静岡県 172.954253	長野県 209.848436	福島県 240.039954
東京都	埼玉県 19.027589	神奈川県 27.192535	千葉県 40.194468	群馬県 96.442644	栃木県 98.746234	茨城県 99.355553	山梨県 101.727266	静岡県 142.845133	長野県 172.787765	福島県 238.957789
神奈川県	東京都 27.192535	埼玉県 45.458210	千葉県 46.970192	山梨県 100.297387	群馬県 117.137250	茨城県 122.936167	栃木県 125.937741	静岡県 126.008624	長野県 187.535981	愛知県 250.558066
新潟県	山形県 123.454968	福島県 128.268805	長野県 157.657520	栃木県 166.838403	宮城県 167.220611	群馬県 167.746300	富山県 209.169310	茨城県 214.473227	秋田県 222.334334	埼玉県 233.696084
富山県	石川県 53.556906	長野県 86.836884	福井県 113.022209	岐阜県 151.259786	山梨県 167.315410	群馬県 168.946297	愛知県 170.346396	新潟県 209.169310	静岡県 218.071156	滋賀県 223.390531
石川県	富山県 53.556906	福井県 69.043888	岐阜県 133.818057	長野県 139.291752	愛知県 158.984829	滋賀県 189.236842	京都府 191.492477	山梨県 203.087656	三重県 207.130985	群馬県 219.294980
福井県	石川県 69.043888	岐阜県 87.428963	富山県 113.022209	愛知県 116.155818	滋賀県 121.961321	京都府 123.322616	三重県 150.384501	奈良県 157.120025	大阪府 165.748180	兵庫県 179.281763
山梨県	静岡県 78.081546	群馬県 92.044268	埼玉県 100.037783	神奈川県 100.297387	東京都 101.727266	長野県 114.942200	千葉県 140.986432	栃木県 155.003072	愛知県 160.191152	富山県 167.315410
長野県	群馬県 83.845314	富山県 86.836884	山梨県 114.942200	石川県 139.291752	栃木県 152.594375	新潟県 157.657520	埼玉県 158.613032	東京都 172.787765	静岡県 186.667234	福井県 187.513953
岐阜県	愛知県 28.796608	三重県 75.873257	福井県 87.428963	滋賀県 88.795587	京都府 97.134961	奈良県 112.785933	石川県 133.818057	大阪府 134.743217	富山県 151.259786	静岡県 158.092979
静岡県	山梨県 78.081546	神奈川県 126.008624	愛知県 136.529501	東京都 142.845133	埼玉県 150.861892	岐阜県 158.092979	群馬県 168.457422	千葉県 172.954253	三重県 173.588869	長野県 186.667234
愛知県	岐阜県 28.796608	三重県 61.746137	滋賀県 96.633467	京都府 106.414808	奈良県 112.421850	福井県 116.155818	静岡県 136.529501	大阪府 138.042955	石川県 158.984829	山梨県 160.191152
三重県	愛知県 61.746137	奈良県 62.115264	滋賀県 65.954867	岐阜県 75.873257	京都府 76.021795	大阪府 90.722719	兵庫県 121.508490	和歌山県 135.299390	福井県 150.384501	静岡県 173.588869
滋賀県	京都府 10.472445	奈良県 35.562542	大阪府 47.585133	三重県 65.954867	兵庫県 71.685537	岐阜県 88.795587	愛知県 96.633467	和歌山県 107.668167	福井県 121.961321	鳥取県 158.421032
京都府	滋賀県 10.472445	奈良県 37.900724	大阪府 42.941674	兵庫県 63.872680	三重県 76.021795	岐阜県 97.134961	和歌山県 103.372137	愛知県 106.414808	福井県 123.322616	鳥取県 148.149129
大阪府	奈良県 28.685296	兵庫県 30.856182	京都府 42.941674	滋賀県 47.585133	和歌山県 60.452071	三重県 90.722719	徳島県 111.988202	岐阜県 134.743217	愛知県 138.042955	香川県 140.891892
兵庫県	大阪府 30.856182	和歌山県 51.629928	奈良県 59.539263	京都府 63.872680	滋賀県 71.685537	徳島県 90.030231	香川県 111.653741	岡山県 114.452504	三重県 121.508490	鳥取県 124.726471
奈良県	大阪府 28.685296	滋賀県 35.562542	京都府 37.900724	兵庫県 59.539263	三重県 62.115264	和歌山県 79.576877	愛知県 112.421850	岐阜県 112.785933	徳島県 135.800579	福井県 157.120025
和歌山県	兵庫県 51.629928	徳島県 58.843038	大阪府 60.452071	奈良県 79.576877	京都府 103.372137	香川県 104.271801	滋賀県 107.668167	岡山県 123.178142	三重県 135.299390	鳥取県 165.299969
鳥取県	岡山県 97.424078	島根県 107.782879	兵庫県 124.726471	香川県 130.315933	大阪府 147.957521	京都府 148.149129	滋賀県 158.421032	徳島県 162.230414	和歌山県 165.299969	奈良県 171.461431
島根県	鳥取県 107.782879	岡山県 120.787435	広島県 130.982311	香川県 154.949421	愛媛県 182.771872	山口県 203.092448	徳島県 208.378080	兵庫県 212.902357	高知県 216.706497	和歌山県 237.898122
岡山県	香川県 37.050155	徳島県 87.592320	鳥取県 97.424078	兵庫県 114.452504	島根県 120.787435	和歌山県 123.178142	高知県 127.791559	広島県 138.579054	愛媛県 140.982887	大阪府 145.290604
広島県	愛媛県 67.706966	山口県 94.010291	島根県 130.982311	高知県 135.718092	岡山県 138.579054	香川県 145.818786	大分県 150.524031	徳島県 196.895803	鳥取県 203.631613	福岡県 207.930273
山口県	広島県 94.010291	大分県 105.963261	福岡県 116.623366	愛媛県 125.559528	佐賀県 150.297293	熊本県 169.030381	高知県 202.910722	島根県 203.092448	長崎県 218.136354	岡山県 232.572051
徳島県	香川県 56.450833	和歌山県 58.843038	岡山県 87.592320	兵庫県 90.030231	高知県 110.514659	大阪府 111.988202	奈良県 135.800579	京都府 152.600402	滋賀県 159.030671	鳥取県 162.230414
香川県	岡山県 37.050155	徳島県 56.450833	高知県 98.676672	和歌山県 104.271801	兵庫県 111.653741	愛媛県 130.265120	鳥取県 130.315933	大阪府 140.891892	広島県 145.818786	島根県 154.949421
愛媛県	広島県 67.706966	高知県 77.570900	山口県 125.559528	大分県 126.267321	香川県 130.265120	岡山県 140.982887	徳島県 167.672272	島根県 182.771872	福岡県 219.078949	熊本県 221.623697
高知県	愛媛県 77.570900	香川県 98.676672	徳島県 110.514659	岡山県 127.791559	広島県 135.718092	和歌山県 168.447477	大分県 182.002003	兵庫県 197.422197	山口県 202.910722	島根県 216.706497
福岡県	佐賀県 41.170044	熊本県 95.491296	長崎県 108.250704	山口県 116.623366	大分県 118.357214	広島県 207.930273	宮崎県 210.334673	愛媛県 219.078949	鹿児島県 227.344239	高知県 289.004932
佐賀県	福岡県 41.170044	熊本県 65.645550	長崎県 68.622416	大分県 122.442415	山口県 150.297293	宮崎県 182.161266	鹿児島県 188.903520	広島県 237.069559	愛媛県 238.302968	高知県 302.629360
長崎県	佐賀県 68.622416	熊本県 81.474809	福岡県 108.250704	鹿児島県 146.369685	大分県 171.476819	宮崎県 172.767548	山口県 218.136354	愛媛県 295.514644	広島県 301.982459	高知県 352.943986
熊本県	佐賀県 65.645550	長崎県 81.474809	大分県 95.367121	福岡県 95.491296	宮崎県 116.701128	鹿児島県 137.455014	山口県 169.030381	愛媛県 221.623697	広島県 239.131233	高知県 273.806088
大分県	熊本県 95.367121	山口県 105.963261	福岡県 118.357214	佐賀県 122.442415	愛媛県 126.267321	宮崎県 148.234530	広島県 150.524031	長崎県 171.476819	高知県 182.002003	鹿児島県 210.879867
宮崎県	鹿児島県 90.812312	熊本県 116.701128	大分県 148.234530	長崎県 172.767548	佐賀県 182.161266	福岡県 210.334673	愛媛県 248.189366	山口県 252.350604	高知県 269.129732	広島県 292.095553
鹿児島県	宮崎県 90.812312	熊本県 137.455014	長崎県 146.369685	佐賀県 188.903520	大分県 210.879867	福岡県 227.344239	山口県 303.484606	愛媛県 326.870448	高知県 356.524188	広島県 361.298074
沖縄県	鹿児島県 655.710365	宮崎県 729.096853	長崎県 754.605087	熊本県 787.040511	佐賀県 820.025073	福岡県 861.140470	大分県 866.516583	山口県 956.065533	愛媛県 977.263689	高知県 990.827849
